district,bedrooms,bathrooms,price_vnd,area_m2,posting_year,posting_month,posting_quarter,month_sin,month_cos,days_since_posted,half_year,price_per_m2
Đống Đa,0,0,19.5,136.0,2025,1,1,0.49999999999999994,0.8660254037844387,338,0,143382352.94117647
Thạch Thất,0,0,15.4,220.0,2025,6,2,1.2246467991473532e-16,-1.0,185,0,70000000.0
Đống Đa,0,0,8.8,32.0,2025,6,2,1.2246467991473532e-16,-1.0,185,0,275000000.0
Thanh Xuân,0,0,10.8,97.0,2025,10,4,-0.8660254037844386,0.5000000000000001,84,1,111340206.185567
Hà Đông,0,0,5.2,85.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,507,1,61176470.5882353
Móng Cái,0,0,6.8,90.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,517,1,75555555.55555555
Hoàng Mai,0,0,70.6,220.0,2024,12,4,-2.4492935982947064e-16,1.0,387,1,320909090.90909094
Hà Đông,0,0,5.1,74.0,2025,2,1,0.8660254037844386,0.5000000000000001,329,0,68918918.91891892
Hà Đông,0,0,6.0,90.0,2023,12,4,-2.4492935982947064e-16,1.0,732,1,66666666.666666664
Gia Lâm,0,0,5.5,86.0,2023,5,2,0.49999999999999994,-0.8660254037844387,956,0,63953488.37209302
Nam Từ Liêm,0,0,4.8,65.0,2024,10,4,-0.8660254037844386,0.5000000000000001,444,1,73846153.84615384
Ba Đình,0,0,78.3,131.0,2024,6,2,1.2246467991473532e-16,-1.0,554,0,597709923.6641221
Thanh Xuân,0,0,22.9,145.0,2024,10,4,-0.8660254037844386,0.5000000000000001,434,1,157931034.4827586
Gia Lâm,0,0,2.5,59.0,2023,2,1,0.8660254037844386,0.5000000000000001,1040,0,42372881.355932206
Đống Đa,0,0,3.2,37.0,2023,3,1,1.0,6.123233995736766e-17,1029,0,86486486.48648648
Thạch Thất,0,0,15.7,220.0,2025,7,3,-0.4999999999999997,-0.8660254037844388,172,1,71363636.36363636
Nam Từ Liêm,0,0,5.7,104.0,2024,2,1,0.8660254037844386,0.5000000000000001,697,0,54807692.307692304
Tây Hồ,0,0,42.1,140.0,2023,6,2,1.2246467991473532e-16,-1.0,917,0,300714285.71428573
Đống Đa,0,0,8.8,32.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,496,1,275000000.0
Cầu Giấy,0,0,6.9,70.0,2025,5,2,0.49999999999999994,-0.8660254037844387,232,0,98571428.57142857
Bắc Từ Liêm,0,0,4.9,66.0,2024,11,4,-0.5000000000000004,0.8660254037844384,408,1,74242424.24242425
Gia Lâm,0,0,2.6,50.0,2023,5,2,0.49999999999999994,-0.8660254037844387,966,0,52000000.0
Long Biên,0,0,14.4,90.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,487,1,160000000.0
Cầu Giấy,0,0,21.2,74.0,2024,9,3,-1.0,-1.8369701987210297e-16,478,1,286486486.4864865
Tây Hồ,0,0,54.2,140.0,2024,11,4,-0.5000000000000004,0.8660254037844384,397,1,387142857.14285713
Hà Đông,0,0,7.0,126.0,2025,3,1,1.0,6.123233995736766e-17,287,0,55555555.55555555
Hà Đông,0,0,7.3,38.0,2025,11,4,-0.5000000000000004,0.8660254037844384,33,1,192105263.15789473
Nam Từ Liêm,0,0,5.2,65.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,502,1,80000000.0
Nam Từ Liêm,0,0,5.1,112.0,2023,12,4,-2.4492935982947064e-16,1.0,743,1,45535714.28571428
Nam Từ Liêm,0,0,8.3,89.0,2025,6,2,1.2246467991473532e-16,-1.0,202,0,93258426.96629214
Nam Từ Liêm,0,0,5.9,83.0,2023,11,4,-0.5000000000000004,0.8660254037844384,783,1,71084337.34939758
Nam Từ Liêm,0,0,6.3,83.0,2024,5,2,0.49999999999999994,-0.8660254037844387,586,0,75903614.45783132
Cầu Giấy,0,0,8.1,125.0,2023,2,1,0.8660254037844386,0.5000000000000001,1050,0,64800000.0
Cầu Giấy,0,0,10.0,111.0,2025,11,4,-0.5000000000000004,0.8660254037844384,44,1,90090090.0900901
Móng Cái,0,0,7.2,90.0,2025,7,3,-0.4999999999999997,-0.8660254037844388,158,1,80000000.0
Tây Hồ,0,0,92.1,126.0,2025,1,1,0.49999999999999994,0.8660254037844387,340,0,730952380.9523809
Nam Từ Liêm,0,0,7.5,110.0,2024,4,2,0.8660254037844387,-0.4999999999999998,621,0,68181818.18181819
Nam Từ Liêm,0,0,8.2,152.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,870,1,53947368.42105263
Đống Đa,0,0,31.9,100.0,2023,7,3,-0.4999999999999997,-0.8660254037844388,887,1,319000000.0
Đông Anh,0,0,17.2,67.0,2023,10,4,-0.8660254037844386,0.5000000000000001,799,1,256716417.91044775
Cầu Giấy,0,0,5.0,68.0,2024,9,3,-1.0,-1.8369701987210297e-16,470,1,73529411.76470588
Hoài Đức,0,0,16.7,110.0,2025,3,1,1.0,6.123233995736766e-17,304,0,151818181.8181818
Nam Từ Liêm,0,0,5.3,72.0,2024,12,4,-2.4492935982947064e-16,1.0,380,1,73611111.1111111
